hid,geo,sample_geo,cars,income,hhldsize
151,0712010101_0094,402,3,2,5
15101,0712010101_0094,402,2,2,2
1526,0712010101_0094,402,1,2,2
15301,0712010101_0094,402,2,2,4
1540,0712010101_0094,402,1,2,2
1543,0712010101_0094,402,1,2,2
1545,0712010101_0094,402,1,1,2
1561,0712010101_0094,402,1,1,2
1562,0712010101_0094,402,1,1,2
1563,0712010101_0094,402,2,2,3
1566,0712010101_0094,402,1,2,2
1570,0712010101_0094,402,1,2,2
1571,0712010101_0094,402,2,2,3
1574,0712010101_0094,402,1,2,3
1575,0712010101_0094,402,1,2,3
1576,0712010101_0094,402,2,2,4
1577,0712010101_0094,402,2,1,3
1585,0712010101_0094,402,2,1,3
1599,0712010101_0094,402,1,1,2
15106,0712010101_0094,402,0,1,2
15108,0712010101_0094,402,1,2,2
15110,0712010101_0094,402,2,2,3
15112,0712010101_0094,402,2,2,4
1523,0712010101_0257,404,1,1,2
1528,0712010101_0257,404,1,1,2
15581,0712010101_0257,404,1,2,3
109,0712020101_0169,406,1,1,3
1010,0712020101_0169,406,2,2,2
1017,0712020101_0169,406,1,1,4
1018,0712020101_0169,406,1,1,3
1020,0712020101_0169,406,2,1,4
1035,0712020101_0169,406,1,1,2
1036,0712020101_0169,406,1,1,3
1058,0712020101_0169,406,1,2,3
10871,0712020101_0169,406,2,2,4
10101,0712020101_0169,406,1,2,2
10111,0712020101_0169,406,1,1,4
10123,0712020101_0169,406,1,1,2
10142,0712020101_0169,406,1,1,2
10143,0712020101_0169,406,3,2,4
10150,0712020101_0169,406,1,2,4
10151,0712020101_0169,406,2,1,4
10162,0712020101_0169,406,2,2,4
10181,0712020101_0169,406,2,2,4
10193,0712020101_0169,406,1,1,1
10212,0712020101_0169,406,2,1,3
10214,0712020101_0169,406,2,1,3
1031,0712020101_0178,407,1,1,2
104,0712020101_0178,407,1,1,1
107,0712020101_0178,407,1,1,5
1081,0712020101_0178,407,1,1,4
10111,0712020101_0178,407,2,1,3
1013,0712020101_0178,407,1,1,5
10141,0712020101_0178,407,2,1,5
1019,0712020101_0178,407,1,1,5
1021,0712020101_0178,407,1,2,5
10221,0712020101_0178,407,2,1,4
1025,0712020101_0178,407,1,1,5
1026,0712020101_0178,407,1,1,4
1027,0712020101_0178,407,1,2,4
1029,0712020101_0178,407,2,2,5
1034,0712020101_0178,407,1,1,2
1042,0712020101_0178,407,2,3,4
1056,0712020101_0178,407,1,2,2
1059,0712020101_0178,407,2,2,3
1064,0712020101_0178,407,2,2,3
1066,0712020101_0178,407,2,2,4
1069,0712020101_0178,407,1,1,1
1073,0712020101_0178,407,1,1,3
1075,0712020101_0178,407,2,1,3
1076,0712020101_0178,407,1,1,2
1077,0712020101_0178,407,3,2,3
1080,0712020101_0178,407,1,1,3
1081,0712020101_0178,407,2,2,4
1083,0712020101_0178,407,1,1,2
1084,0712020101_0178,407,1,1,2
1086,0712020101_0178,407,3,2,4
1090,0712020101_0178,407,1,1,2
1091,0712020101_0178,407,2,2,3
1098,0712020101_0178,407,1,1,2
10100,0712020101_0178,407,2,1,3
10103,0712020101_0178,407,2,1,3
10106,0712020101_0178,407,2,2,3
10109,0712020101_0178,407,2,1,4
10110,0712020101_0178,407,1,1,5
10112,0712020101_0178,407,2,1,4
101141,0712020101_0178,407,2,1,4
10118,0712020101_0178,407,1,1,2
10119,0712020101_0178,407,1,1,1
10120,0712020101_0178,407,1,1,2
10124,0712020101_0178,407,2,1,4
10128,0712020101_0178,407,2,2,5
10129,0712020101_0178,407,1,1,3
10130,0712020101_0178,407,3,2,4
101311,0712020101_0178,407,2,2,5
10132,0712020101_0178,407,1,2,4
10133,0712020101_0178,407,2,2,5
10134,0712020101_0178,407,1,1,2
10135,0712020101_0178,407,1,1,1
10136,0712020101_0178,407,1,1,2
10137,0712020101_0178,407,2,2,4
10138,0712020101_0178,407,1,1,2
10139,0712020101_0178,407,2,1,3
10140,0712020101_0178,407,1,1,1
10146,0712020101_0178,407,2,2,4
10147,0712020101_0178,407,2,2,2
10148,0712020101_0178,407,2,1,2
10152,0712020101_0178,407,1,2,3
10153,0712020101_0178,407,1,1,2
10154,0712020101_0178,407,1,1,4
10155,0712020101_0178,407,1,1,2
10157,0712020101_0178,407,2,1,3
10158,0712020101_0178,407,1,1,4
10161,0712020101_0178,407,3,2,4
10164,0712020101_0178,407,1,2,4
10165,0712020101_0178,407,2,3,4
10167,0712020101_0178,407,1,1,4
101751,0712020101_0178,407,2,2,5
10176,0712020101_0178,407,2,1,4
10182,0712020101_0178,407,2,1,4
10188,0712020101_0178,407,1,1,2
10194,0712020101_0178,407,1,1,2
10195,0712020101_0178,407,1,1,2
10199,0712020101_0178,407,1,1,3
10200,0712020101_0178,407,2,1,4
10217,0712020101_0178,407,2,1,2
1040,0712010101_0333,482,1,2,5
101161,0712010101_0333,482,1,1,3
1023,0712020101_0172,483,1,1,5
1031,0712020101_0172,483,1,2,1
1047,0712020101_0172,483,1,1,2
1055,0712020101_0172,483,0,1,1
10571,0712020101_0172,483,1,2,2
10601,0712020101_0172,483,1,1,2
1062,0712020101_0172,483,1,2,3
1071,0712020101_0172,483,1,1,3
1093,0712020101_0172,483,1,1,1
1094,0712020101_0172,483,2,2,3
10121,0712020101_0172,483,2,1,2
10141,0712020101_0172,483,1,2,4
10174,0712020101_0172,483,2,1,4
10177,0712020101_0172,483,1,2,5
10197,0712020101_0172,483,2,2,4
10198,0712020101_0172,483,2,1,2
10206,0712020101_0172,483,1,2,1
10213,0712020101_0172,483,2,2,4
